school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
陕西国际商贸学院,01,不限,否,陕西国际商贸学院01专业组(不限),478,物理,eol.cn 征求志愿
西安财经大学行知学院,01,不限,否,西安财经大学行知学院01专业组(不限),489,物理,eol.cn 征求志愿
西安工商学院,01,不限,否,西安工商学院01专业组(不限),481,物理,eol.cn 征求志愿
西安科技大学高新学院,01,不限,否,西安科技大学高新学院01专业组(不限),490,物理,eol.cn 征求志愿
兰州工商学院,01,不限,否,兰州工商学院01专业组(不限),480,物理,eol.cn 征求志愿
宁夏理工学院,01,不限,否,宁夏理工学院01专业组(不限),481,物理,eol.cn 征求志愿
银川能源学院,01,不限,否,银川能源学院01专业组(不限),478,物理,eol.cn 征求志愿
南京体育学院,03,不限,是,南京体育学院03专业组(不限)(中外合作办学),485,历史,eol.cn 征求志愿
江苏第二师范学院,05,不限,否,江苏第二师范学院05专业组(不限),546,历史,eol.cn 征求志愿
徐州工程学院,01,不限,否,徐州工程学院01专业组(不限),540,历史,eol.cn 征求志愿
常州工学院,04,不限,是,常州工学院04专业组(不限)(高校中外学分互认联合培养项目),478,历史,eol.cn 征求志愿
江苏理工学院,02,不限,否,江苏理工学院02专业组(不限),526,历史,eol.cn 征求志愿
常熟理工学院,01,不限,否,常熟理工学院01专业组(不限),525,历史,eol.cn 征求志愿
苏州城市学院,02,不限,是,苏州城市学院02专业组(不限)(高校中外学分互认联合培养项目),498,历史,eol.cn 征求志愿
江苏海洋大学,01,不限,否,江苏海洋大学01专业组(不限),538,历史,eol.cn 征求志愿
淮阴师范学院,05,不限,是,淮阴师范学院05专业组(不限)(高校中外学分互认联合培养项目),496,历史,eol.cn 征求志愿
淮阴工学院,02,不限,否,淮阴工学院02专业组(不限),529,历史,eol.cn 征求志愿
盐城师范学院,03,不限,否,盐城师范学院03专业组(不限),526,历史,eol.cn 征求志愿
江苏大学,02,不限,否,江苏大学02专业组(不限),586,历史,eol.cn 征求志愿
南京理工大学紫金学院,01,不限,否,南京理工大学紫金学院01专业组(不限),562,历史,eol.cn 征求志愿
