year,subject,school_name,group_id,group_code,min_score,min_rank,xuanke_req,is_special
2024,物理,华中师范大学,16,A15116,602,16685,不限,是
2024,物理,华中师范大学,17,A15117,611,12932,不限,否
2024,物理,华中师范大学,18,A15118,610,13315,化学,否
2024,物理,华中师范大学,19,A15119,608,14116,化学,是
2024,物理,华中师范大学,20,A15120,623,8760,化学,否
2024,物理,中南财经政法大学,15,A15315,601,17139,不限,否
2024,物理,中南财经政法大学,16,A15316,599,18084,不限,否
2024,物理,中南财经政法大学,17,A15317,600,17613,不限,是
2024,物理,中南财经政法大学,18,A15318,611,12932,化学,否
2024,物理,中南民族大学,05,A15505,557,43617,不限,是
2024,物理,中南民族大学,08,A15508,561,40713,化学,否
2024,物理,中南民族大学,09,A15509,577,30080,化学,否
2024,物理,湖南大学,06,A15706,607,14519,不限,是
2024,物理,湖南大学,07,A15707,614,11756,不限,是
2024,物理,湖南大学,08,A15708,622,9067,不限,否
2024,物理,湖南大学,09,A15709,608,14116,不限,是
2024,物理,湖南大学,10,A15710,630,6777,化学,否
2024,物理,湖南大学,11,A15711,609,13728,化学,是
2024,物理,中南大学,03,A15903,621,9357,化学,否
2024,物理,中南大学,04,A15904,606,14934,化学,是
2024,物理,中南大学,05,A15905,631,6509,化学,否
2024,物理,中南大学,06,A15906,611,12932,化学,是
2024,物理,中南大学,07,A15907,628,7356,化和生,否
2024,物理,中南大学,08,A15908,648,3033,化和生,否
2024,物理,中山大学,06,A16106,639,4710,化学,否
2024,物理,中山大学,07,A16107,628,7356,化学,否
2024,物理,中山大学,08,A16108,616,11058,化学,是
2024,物理,中山大学,09,A16109,627,7659,化学,是
2024,物理,暨南大学,04,A16304,599,18084,不限,否
2024,物理,暨南大学,05,A16305,592,21511,不限,否
2024,物理,暨南大学,06,A16306,595,20005,不限,是
2024,物理,暨南大学,07,A16307,610,13315,化学,否
2024,物理,暨南大学,08,A16308,618,10372,化学,否
2024,物理,暨南大学,09,A16309,599,18084,化学,否
2024,物理,暨南大学,10,A16310,606,14934,化学,是
2024,物理,华南理工大学,02,A16502,632,6243,不限,否
2024,物理,华南理工大学,03,A16503,577,30080,不限,是
2024,物理,华南理工大学,04,A16504,637,5099,化学,否
2024,物理,华南理工大学,05,A16505,617,10680,化学,是
2024,物理,四川大学,04,A16704,634,5756,化学,否
2024,物理,四川大学,05,A16705,645,3532,化学,否
2024,物理,四川大学,06,A16706,628,7356,化学,否
2024,物理,四川大学,07,A16707,626,7910,化学,否
2024,物理,重庆大学,06,A16906,630,6777,不限,否
2024,物理,重庆大学,07,A16907,631,6509,不限,否
2024,物理,重庆大学,08,A16908,621,9357,化学,否
2024,物理,重庆大学,09,A16909,614,11756,化学,是
2024,物理,重庆大学,10,A16910,601,17139,不限,是
2024,物理,西南交通大学,05,A17105,606,14934,不限,否
2024,物理,西南交通大学,06,A17106,589,23071,化学,否
2024,物理,西南交通大学,09,A17109,600,17613,化学,是
2024,物理,电子科技大学,02,A17302,643,3901,化学,否
2024,物理,电子科技大学,03,A17303,636,5326,化学,是
2024,物理,中国民用航空飞行学院,06,A17506,530,64476,不限,否
2024,物理,中国民用航空飞行学院,07,A17507,521,71942,不限,否
2024,物理,中国民用航飞行学院,08,A17508,527,67041,不限,是
2024,物理,中国民用航空飞行学院,09,A17509,530,64476,化学,否
2024,物理,中国民用航空飞行学院,10,A17510,526,67862,化学,是
2024,物理,中国民用航空飞行学院,11,A17511,531,63695,政治,否
2024,物理,西南大学,15,A17715,598,18563,不限,是
2024,物理,西南大学,16,A17716,598,18563,不限,否
2024,物理,西南大学,17,A17717,580,28232,不限,否
2024,物理,西南大学,18,A17718,588,23596,不限,否
2024,物理,西南大学,19,A17719,602,16685,化学,否
2024,物理,西南大学,20,A17720,591,21997,化学,否
2024,物理,西南大学,21,A17721,591,21997,化学,是
2024,物理,西南大学,22,A17722,607,14519,化和生,否
