school_code,school_name,group_code,group_id,plan_count,admitted,min_score,min_rank,year,subject,xuanke_req,is_special
10558,中山大学      Ay&gt;,216,16,175,175,615,1439,2024,历史,不限,否
10559,暨南大学,202,02,8,8,596,3525,2024,历史,不限,否
10559,暨南大学(艺术类),216,16,5,0,1580,6226,2024,历史,不限,否
10559,暨南大学,217,17,279,0,587,5012,2024,历史,不限,否
10559,暨南大学,218,18,53,53,593,3984,2024,历史,不限,否
10560,汕头大学,201,01,282,282,542,17624,2024,历史,不限,否
10560,汕头大学,202,02,393,393,544,16784,2024,历史,不限,否
10560,汕头大学（地方专项）,203,03,29,29,531,22194,2024,历史,不限,否
10560,汕头大学（地方专项）,204,04,30,30,516,29425,2024,历史,不限,否
10561,华南理工大学,201,01,199,199,606,2312,2024,历史,不限,否
10564,华南农业大学,201,01,82,82,567,9437,2024,历史,不限,否
10564,华南农业大学,202,02,384,384,557,12206,2024,历史,不限,否
10564,华南农业大学                               &gt;,203,03,907,907,551,14376,2024,历史,不限,否
10564,华南农业大学,205,05,452,452,546,15923,2024,历史,不限,否
10564,华南农业大学                        &gt;&gt;,206,06,5,5,563,10300,2024,历史,不限,否
10564,华南农业大学                        K,207,07,132,132,547,15720,2024,历史,不限,否
10566,广东海洋大学,226,26,615,615,513,31267,2024,历史,不限,否
10566,广东海洋大学,227,27,648,648,513,31024,2024,历史,不限,否
10566,东海洋大学,228,28,51,51,515,30038,2024,历史,不限,否
10566,东海洋大学(地方专项）,229,29,28,19,509,33402,2024,历史,不限,否
10566,东海洋大学,230,30,78,78,513,31100,2024,历史,不限,否
10570,广州医科大学,203,03,42,0,441,83666,2024,历史,不限,否
10570,广州医科大学（地方专项）,206,06,5,2,518,28705,2024,历史,不限,否
10570,广州医科大学(地方专项）,207,07,5,5,530,22608,2024,历史,不限,否
10571,广东医科大学,206,06,40,40,451,75514,2024,历史,不限,否
10571,广东医科大学,207,07,237,237,509,33485,2024,历史,不限,否
10572,广州中医药大学,208,08,76,76,532,21781,2024,历史,不限,否
10572,广广州中医药大学,209,09,67,67,537,19740,2024,历史,不限,否
10572,广州中医药大学(地方专项),213,13,5,5,519,27777,2024,历史,不限,否
10573,广东药科大学,208,08,548,548,499,39551,2024,历史,不限,否
10573,广东药科大学,209,09,20,20,477,54870,2024,历史,不限,否
10574,华南师范大学,201,01,546,546,587,4950,2024,历史,不限,否
10574,华南师范大学,202,02,21,21,595,3707,2024,历史,不限,否
10574,华南师范大学,203,03,82,82,593,3948,2024,历史,不限,否
10574,华南师范大学,204,04,122,122,575,7345,2024,历史,不限,否
10574,华南师范大学,205,05,335,335,574,7615,2024,历史,不限,否
10574,华南师范大学,206,06,15,15,586,5068,2024,历史,不限,否
10574,华南师范大学,207,07,72,72,585,5333,2024,历史,不限,否
