school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
8172,南昌理工学院,02,02,不限,30,0,492,141819,2024,物理,否
8172,南昌理工学院,03,03,化学,30,0,462,180881,2024,物理,否
8173,江西应用科技学院,03,03,不限,30,0,486,145909,2024,物理,否
8173,江西应用科技学院,04,04,化学,30,0,462,180881,2024,物理,否
8174,江西服装学院,02,02,不限,30,0,478,168723,2024,物理,否
8174,江西服装学院,03,03,化学,30,0,462,180881,2024,物理,否
8175,南昌工学院,04,04,不限,30,0,488,144546,2024,物理,否
8175,南昌工学院,05,05,化学,30,0,462,180881,2024,物理,否
8176,南昌大学科学技术学院,02,02,不限,30,0,492,141819,2024,物理,否
8176,南昌大学科学技术学院,03,03,化学,30,0,481,149318,2024,物理,否
8177,南昌大学共青学院,02,02,不限,30,0,488,144546,2024,物理,否
8177,南昌大学共青学院,03,03,化学,30,0,478,168723,2024,物理,否
8178,南昌交通学院,02,02,不限,30,0,489,143864,2024,物理,否
8178,南昌交通学院,03,03,化学,30,0,464,179361,2024,物理,否
8180,南昌航空大学科技学院,02,02,不限,30,0,493,141138,2024,物理,否
8180,南昌航空大学科技学院,03,03,化学,30,0,471,174042,2024,物理,否
8183,江西农业大学南昌商学院,03,03,不限,30,0,489,143864,2024,物理,否
8183,江西农业大学南昌商学院,04,04,化学,30,0,482,148636,2024,物理,否
8183,江西农业大学南昌商学院,05,05,生物,30,0,493,141138,2024,物理,否
8185,江西师范大学科学技术学院,02,02,不限,30,0,490,143183,2024,物理,否
8185,江西师范大学科学技术学院,03,03,化学,30,0,472,173282,2024,物理,否
8186,景德镇艺术职业大学,02,02,不限,30,0,493,141138,2024,物理,否
8187,南昌应用技术师范学院,03,03,不限,30,0,497,138411,2024,物理,否
8187,南昌应用技术师范学院,04,04,化学,30,0,468,176322,2024,物理,否
8188,江西财经大学现代经济管理学院,03,03,不限,30,0,490,143183,2024,物理,否
8188,江西财经大学现代经济管理学院,04,04,不限,30,0,489,143864,2024,物理,否
8188,江西财经大学现代经济管理学院,05,05,不限,30,0,492,141819,2024,物理,否
8188,江西财经大学现代经济管理学院,06,06,化学,30,0,485,146591,2024,物理,否
8210,齐鲁医药学院,02,02,不限,30,0,494,140456,2024,物理,否
8210,齐鲁医药学院,03,03,化学,30,0,481,149318,2024,物理,否
